ID,year,party,race
1,2019,Democrat,Black
2,2019,Democrat,Black
3,2019,Democrat,Black
4,2019,Democrat,Black
5,2019,Independent,Black
6,2019,Democrat,Black
7,2019,Democrat,Black
8,2019,Independent,Black
9,2019,Democrat,Black
10,2019,Democrat,Black
11,2019,Democrat,Black
12,2019,Democrat,Black
13,2019,Independent,Black
14,2019,Democrat,Black
15,2019,Democrat,Black
16,2019,Independent,Black
17,2019,Independent,Black
18,2019,Democrat,Black
19,2019,Democrat,Black
20,2019,Independent,Black
21,2019,Independent,Black
22,2019,Democrat,Black
23,2019,Democrat,Black
24,2019,Democrat,Black
25,2019,Democrat,Black
26,2019,Independent,Black
27,2019,Democrat,Black
28,2019,Democrat,Black
29,2019,Republican,Black
30,2019,Democrat,Black
31,2019,Independent,Black
32,2019,Democrat,Black
33,2019,Independent,Black
34,2019,Democrat,Black
35,2019,Independent,Black
36,2019,Democrat,Black
37,2019,Democrat,Black
38,2019,Independent,Black
39,2019,Democrat,Black
40,2019,Democrat,Black
41,2019,Democrat,Black
42,2019,Unsure/Refused,Black
43,2019,Democrat,Black
44,2019,Democrat,Black
45,2019,Democrat,Black
46,2019,Democrat,Black
47,2019,Democrat,Black
48,2019,Democrat,Black
49,2019,Democrat,Black
50,2019,Democrat,Black
51,2019,Democrat,Black
52,2019,Democrat,Black
53,2019,Democrat,Black
54,2019,Democrat,Black
55,2019,Independent,Black
56,2019,Democrat,Black
57,2019,Democrat,Black
58,2019,Democrat,Black
59,2019,Democrat,Black
60,2019,Unsure/Refused,Black
61,2019,Independent,Black
62,2019,Republican,Black
63,2019,Democrat,Black
64,2019,Independent,Black
65,2019,Unsure/Refused,Black
66,2019,Democrat,Black
67,2019,Independent,Black
68,2019,Independent,Black
69,2019,Democrat,Black
70,2019,Independent,Black
71,2019,Democrat,Black
72,2019,Independent,Black
73,2019,Democrat,Black
74,2019,Democrat,Black
75,2019,Democrat,Black
76,2019,Democrat,Black
77,2019,Independent,Black
78,2019,Democrat,Black
79,2019,Independent,Black
80,2019,Democrat,Black
81,2019,Democrat,Black
82,2019,Democrat,Black
83,2019,Democrat,Black
84,2019,Democrat,Black
85,2019,Democrat,Black
86,2019,Independent,Black
87,2019,Democrat,Black
88,2019,Democrat,Black
89,2019,Independent,Black
