Generation,SlangUse,PoliticalIdeology
Boomers,3,conservative
Boomers,3,conservative
Boomers,4,conservative
Boomers,3,conservative
Boomers,2,conservative
Boomers,3,conservative
Boomers,3,conservative
Boomers,2,conservative
Boomers,3,conservative
Boomers,4,conservative
Boomers,4,conservative
Boomers,3,conservative
Boomers,4,conservative
Boomers,3,conservative
Boomers,3,conservative
Boomers,2,conservative
Boomers,3,conservative
Boomers,2,conservative
Boomers,3,conservative
Boomers,2,conservative
Boomers,2,conservative
Boomers,3,conservative
Boomers,4,conservative
Boomers,3,conservative
Boomers,3,conservative
Boomers,2,conservative
Boomers,2,conservative
Boomers,3,conservative
Boomers,2,conservative
Boomers,2,conservative
Boomers,3,conservative
Boomers,3,conservative
Boomers,3,conservative
Boomers,4,conservative
Boomers,4,conservative
Boomers,4,conservative
Boomers,2,conservative
Boomers,2,conservative
Boomers,3,conservative
Boomers,2,conservative
Boomers,3,conservative
Boomers,4,conservative
Boomers,4,conservative
Boomers,4,conservative
Boomers,4,conservative
Boomers,3,conservative
Boomers,4,conservative
Boomers,2,conservative
Boomers,4,conservative
Boomers,4,conservative
Boomers,3,conservative
Boomers,4,conservative
Boomers,3,conservative
Boomers,4,conservative
Boomers,4,conservative
Boomers,2,conservative
Boomers,4,conservative
Boomers,4,conservative
Boomers,3,conservative
Boomers,3,conservative
Boomers,4,conservative
Boomers,4,conservative
Boomers,4,conservative
Boomers,3,conservative
Boomers,3,conservative
Boomers,4,conservative
Boomers,3,conservative
Boomers,2,conservative
Boomers,3,conservative
Boomers,4,conservative
Boomers,4,conservative
Boomers,3,conservative
Boomers,3,conservative
Boomers,3,conservative
Boomers,4,conservative
Boomers,2,conservative
Boomers,2,conservative
Boomers,3,conservative
Boomers,2,conservative
Boomers,3,conservative
Boomers,2,conservative
Boomers,3,conservative
Boomers,4,conservative
Boomers,3,conservative
Boomers,2,conservative
Boomers,3,conservative
Boomers,3,conservative
Boomers,4,conservative
Boomers,3,conservative
Boomers,3,conservative
Boomers,3,conservative
Boomers,2,conservative
Boomers,4,conservative
Boomers,3,conservative
Boomers,2,conservative
Boomers,4,conservative
Boomers,3,conservative
Boomers,3,conservative
Boomers,2,conservative
Boomers,4,conservative
Boomers,3,conservative
Boomers,1,liberal
Boomers,1,liberal
Boomers,1,liberal
Boomers,1,liberal
Boomers,2,liberal
Boomers,0,liberal
Boomers,1,liberal
Boomers,0,liberal
Boomers,2,liberal
Boomers,1,liberal
Boomers,0,liberal
Boomers,2,liberal
Boomers,2,liberal
Boomers,2,liberal
Boomers,0,liberal
Boomers,1,liberal
Boomers,1,liberal
Boomers,0,liberal
Boomers,1,liberal
Boomers,0,liberal
Boomers,2,liberal
Boomers,2,liberal
Boomers,2,liberal
Boomers,2,liberal
Boomers,1,liberal
Boomers,1,liberal
Boomers,1,liberal
Boomers,1,liberal
Boomers,1,liberal
Boomers,2,liberal
Boomers,1,liberal
Boomers,2,liberal
Boomers,0,liberal
Boomers,0,liberal
Boomers,0,liberal
Boomers,2,liberal
Boomers,1,liberal
Boomers,1,liberal
Boomers,2,liberal
Boomers,2,liberal
Boomers,1,liberal
Boomers,0,liberal
Boomers,1,liberal
Boomers,1,liberal
Boomers,1,liberal
Boomers,1,liberal
Boomers,2,liberal
Boomers,1,liberal
Boomers,0,liberal
Boomers,1,liberal
Boomers,1,liberal
Boomers,2,liberal
Boomers,2,liberal
Boomers,0,liberal
Boomers,1,liberal
Boomers,1,liberal
Boomers,2,liberal
Boomers,2,liberal
Boomers,1,liberal
Boomers,2,liberal
Boomers,2,liberal
Boomers,1,liberal
Boomers,1,liberal
Boomers,1,liberal
Boomers,2,liberal
Boomers,1,liberal
Boomers,2,liberal
Boomers,2,liberal
Boomers,0,liberal
Boomers,2,liberal
Boomers,1,liberal
Boomers,0,liberal
Boomers,2,liberal
Boomers,2,liberal
Boomers,1,liberal
Boomers,2,liberal
Boomers,2,liberal
Boomers,2,liberal
Boomers,2,liberal
Boomers,1,liberal
Boomers,2,liberal
Boomers,2,liberal
Boomers,1,liberal
Boomers,2,liberal
Boomers,1,liberal
Boomers,1,liberal
Boomers,1,liberal
Boomers,2,liberal
Boomers,0,liberal
Boomers,1,liberal
Boomers,2,liberal
Boomers,1,liberal
Boomers,2,moderate
Boomers,1,moderate
Boomers,3,moderate
Boomers,1,moderate
Boomers,2,moderate
Boomers,2,moderate
Boomers,2,moderate
Boomers,3,moderate
Boomers,2,moderate
Boomers,3,moderate
Boomers,3,moderate
Boomers,2,moderate
Boomers,3,moderate
Boomers,1,moderate
Boomers,3,moderate
Boomers,3,moderate
Boomers,2,moderate
Boomers,2,moderate
Boomers,2,moderate
Boomers,2,moderate
Boomers,2,moderate
Boomers,2,moderate
Boomers,3,moderate
Boomers,2,moderate
Boomers,1,moderate
Boomers,2,moderate
Boomers,2,moderate
Boomers,3,moderate
Boomers,2,moderate
Boomers,3,moderate
Boomers,3,moderate
Boomers,1,moderate
Boomers,1,moderate
Boomers,3,moderate
Boomers,1,moderate
Boomers,2,moderate
Boomers,3,moderate
Boomers,1,moderate
Boomers,1,moderate
Boomers,1,moderate
Boomers,1,moderate
Boomers,2,moderate
Boomers,3,moderate
Boomers,3,moderate
Boomers,3,moderate
Boomers,2,moderate
Boomers,2,moderate
Boomers,2,moderate
Boomers,1,moderate
Boomers,2,moderate
Boomers,3,moderate
Boomers,2,moderate
Boomers,3,moderate
Boomers,2,moderate
Boomers,3,moderate
Boomers,3,moderate
Boomers,2,moderate
Boomers,2,moderate
Boomers,2,moderate
Boomers,2,moderate
Boomers,3,moderate
Boomers,2,moderate
Boomers,2,moderate
Boomers,1,moderate
Boomers,2,moderate
Boomers,2,moderate
Boomers,3,moderate
Boomers,3,moderate
Boomers,2,moderate
Boomers,3,moderate
Boomers,2,moderate
Boomers,2,moderate
Boomers,1,moderate
Boomers,2,moderate
Boomers,2,moderate
Boomers,2,moderate
Boomers,3,moderate
Boomers,3,moderate
Boomers,1,moderate
Boomers,1,moderate
Gen2020,5,conservative
Gen2020,10,conservative
Gen2020,7,conservative
Gen2020,5,conservative
Gen2020,11,conservative
Gen2020,8,conservative
Gen2020,10,conservative
Gen2020,11,conservative
Gen2020,5,conservative
Gen2020,9,conservative
Gen2020,12,conservative
Gen2020,6,conservative
Gen2020,12,conservative
Gen2020,6,conservative
Gen2020,9,conservative
Gen2020,11,conservative
Gen2020,11,conservative
Gen2020,7,conservative
Gen2020,11,conservative
Gen2020,10,conservative
Gen2020,5,conservative
Gen2020,5,conservative
Gen2020,7,conservative
Gen2020,4,conservative
Gen2020,3,liberal
Gen2020,8,liberal
Gen2020,4,liberal
Gen2020,3,liberal
Gen2020,4,liberal
Gen2020,6,liberal
Gen2020,10,liberal
Gen2020,5,liberal
Gen2020,4,liberal
Gen2020,7,liberal
Gen2020,10,liberal
Gen2020,10,liberal
Gen2020,7,liberal
Gen2020,7,liberal
Gen2020,4,liberal
Gen2020,5,liberal
Gen2020,3,liberal
Gen2020,6,liberal
Gen2020,5,liberal
Gen2020,8,liberal
Gen2020,7,liberal
Gen2020,10,liberal
Gen2020,8,liberal
Gen2020,10,liberal
Gen2020,9,liberal
Gen2020,9,liberal
Gen2020,7,liberal
Gen2020,3,liberal
Gen2020,9,liberal
Gen2020,8,liberal
Gen2020,7,liberal
Gen2020,3,liberal
Gen2020,4,liberal
Gen2020,8,liberal
Gen2020,5,liberal
Gen2020,7,liberal
Gen2020,8,liberal
Gen2020,4,liberal
Gen2020,8,liberal
Gen2020,5,liberal
Gen2020,6,liberal
Gen2020,8,liberal
Gen2020,5,liberal
Gen2020,5,liberal
Gen2020,8,moderate
Gen2020,3,moderate
Gen2020,7,moderate
Gen2020,4,moderate
Gen2020,11,moderate
Gen2020,9,moderate
Gen2020,4,moderate
Gen2020,5,moderate
Gen2020,10,moderate
Gen2020,8,moderate
Gen2020,9,moderate
Gen2020,8,moderate
Gen2020,4,moderate
Gen2020,8,moderate
Gen2020,5,moderate
Gen2020,4,moderate
Gen2020,8,moderate
Gen2020,5,moderate
Gen2020,6,moderate
Gen2020,4,moderate
Gen2020,7,moderate
Gen2020,9,moderate
Gen2020,10,moderate
Gen2020,10,moderate
Gen2020,10,moderate
Gen2020,3,moderate
Gen2020,9,moderate
Gen2020,7,moderate
Gen2020,5,moderate
Gen2020,10,moderate
Gen2020,5,moderate
Gen2020,4,moderate
Gen2020,10,moderate
Gen2020,5,moderate
Gen2020,11,moderate
GenerationX,5,conservative
GenerationX,4,conservative
GenerationX,4,conservative
GenerationX,4,conservative
GenerationX,4,conservative
GenerationX,7,conservative
GenerationX,6,conservative
GenerationX,7,conservative
GenerationX,6,conservative
GenerationX,7,conservative
GenerationX,5,conservative
GenerationX,4,conservative
GenerationX,7,conservative
GenerationX,5,conservative
GenerationX,5,conservative
GenerationX,4,conservative
GenerationX,5,conservative
GenerationX,7,conservative
GenerationX,6,conservative
GenerationX,5,conservative
GenerationX,6,conservative
